Date,Day,Month,Quarter,Year
1/2/2013,2,1,1,2013
1/3/2013,3,1,1,2013
1/4/2013,4,1,1,2013
1/8/2013,8,1,1,2013
1/10/2013,10,1,1,2013
1/11/2013,11,1,1,2013
1/12/2013,12,1,1,2013
1/14/2013,14,1,1,2013
1/16/2013,16,1,1,2013
1/17/2013,17,1,1,2013
1/18/2013,18,1,1,2013
1/19/2013,19,1,1,2013
1/20/2013,20,1,1,2013
1/23/2013,23,1,1,2013
1/24/2013,24,1,1,2013
1/25/2013,25,1,1,2013
1/26/2013,26,1,1,2013
1/27/2013,27,1,1,2013
1/29/2013,29,1,1,2013
1/31/2013,31,1,1,2013
2/1/2013,1,2,1,2013
2/3/2013,3,2,1,2013
2/4/2013,4,2,1,2013
2/5/2013,5,2,1,2013
2/6/2013,6,2,1,2013
2/11/2013,11,2,1,2013
2/13/2013,13,2,1,2013
2/14/2013,14,2,1,2013
2/16/2013,16,2,1,2013
2/18/2013,18,2,1,2013
2/19/2013,19,2,1,2013
2/21/2013,21,2,1,2013
2/22/2013,22,2,1,2013
2/26/2013,26,2,1,2013
2/27/2013,27,2,1,2013
2/28/2013,28,2,1,2013
3/1/2013,1,3,1,2013
3/2/2013,2,3,1,2013
3/3/2013,3,3,1,2013
3/4/2013,4,3,1,2013
3/6/2013,6,3,1,2013
3/7/2013,7,3,1,2013
3/8/2013,8,3,1,2013
3/10/2013,10,3,1,2013
3/12/2013,12,3,1,2013
3/14/2013,14,3,1,2013
3/17/2013,17,3,1,2013
3/19/2013,19,3,1,2013
3/23/2013,23,3,1,2013
3/24/2013,24,3,1,2013
3/25/2013,25,3,1,2013
3/26/2013,26,3,1,2013
3/28/2013,28,3,1,2013
3/31/2013,31,3,1,2013
4/1/2013,1,4,2,2013
4/2/2013,2,4,2,2013
4/4/2013,4,4,2,2013
4/6/2013,6,4,2,2013
4/7/2013,7,4,2,2013
4/10/2013,10,4,2,2013
4/12/2013,12,4,2,2013
4/13/2013,13,4,2,2013
4/14/2013,14,4,2,2013
4/15/2013,15,4,2,2013
4/18/2013,18,4,2,2013
4/21/2013,21,4,2,2013
4/23/2013,23,4,2,2013
4/25/2013,25,4,2,2013
4/26/2013,26,4,2,2013
4/27/2013,27,4,2,2013
4/29/2013,29,4,2,2013
4/30/2013,30,4,2,2013
5/1/2013,1,5,2,2013
5/2/2013,2,5,2,2013
5/3/2013,3,5,2,2013
5/4/2013,4,5,2,2013
5/5/2013,5,5,2,2013
5/6/2013,6,5,2,2013
5/7/2013,7,5,2,2013
5/9/2013,9,5,2,2013
5/10/2013,10,5,2,2013
5/12/2013,12,5,2,2013
5/13/2013,13,5,2,2013
5/14/2013,14,5,2,2013
5/15/2013,15,5,2,2013
5/17/2013,17,5,2,2013
5/20/2013,20,5,2,2013
5/21/2013,21,5,2,2013
5/24/2013,24,5,2,2013
5/27/2013,27,5,2,2013
5/28/2013,28,5,2,2013
5/30/2013,30,5,2,2013
1/1/2014,1,1,1,2014
1/2/2014,2,1,1,2014
1/3/2014,3,1,1,2014
1/4/2014,4,1,1,2014
1/8/2014,8,1,1,2014
1/10/2014,10,1,1,2014
1/11/2014,11,1,1,2014
1/12/2014,12,1,1,2014
1/14/2014,14,1,1,2014
1/16/2014,16,1,1,2014
1/17/2014,17,1,1,2014
1/18/2014,18,1,1,2014
1/19/2014,19,1,1,2014
1/20/2014,20,1,1,2014
1/23/2014,23,1,1,2014
1/24/2014,24,1,1,2014
1/25/2014,25,1,1,2014
1/26/2014,26,1,1,2014
1/27/2014,27,1,1,2014
1/29/2014,29,1,1,2014
1/30/2014,30,1,1,2014
1/31/2014,31,1,1,2014
2/1/2014,1,2,1,2014
2/3/2014,3,2,1,2014
